card_id,qr,deck,archetype,owner_table,held_by_table_at_setup,is_foreign_at_setup,validity,correct_action,penalty_aed,title,counterparty,amount,vat,format,route,verdict
RED-T01-V1,KP5C-EB2BF5B3FB,RED,V1,1,1,False,VALID,FILE,0,STANDARD B2B SUPPLY,Meridian Logistics LLC (Mainland Dubai),"AED 486,200.00","AED 23,152.38 @ 5%",PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",FILE
RED-T01-V2,KP5C-EA62275945,RED,V2,1,1,False,VALID,FILE,0,FREE ZONE B2B SUPPLY,Harbourline FZE (JAFZA) → Mainland buyer,"AED 1,204,000.00","AED 57,333.33 @ 5%",PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",FILE
RED-T01-V3,KP5C-417F237B3F,RED,V3,1,1,False,VALID,FILE,0,B2G GOVERNMENT SUPPLY,Emirates Public Works Authority,"AED 2,750,000.00","AED 130,952.38 @ 5%",PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",FILE
RED-T01-V4,KP5C-392471A22E,RED,V4,1,2,True,VALID,FILE,0,E-CREDIT NOTE,Nakheel Interiors Trading LLC,"– AED 92,400.00 (credit)","– AED 4,400.00 @ 5%",PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",FILE
RED-T01-V5,KP5C-0858FAB507,RED,V5,1,3,True,VALID,FILE,0,EXPORT SUPPLY — ZERO RATED,Qadeer Industrial Co. (Kingdom of Saudi Arabia),"AED 830,500.00",AED 0.00 — zero-rated export,PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",FILE
RED-T01-V6,KP5C-B4775DC9C6,RED,V6,1,4,True,VALID,FILE,0,SELF-BILLED SUPPLY,Al Rayyan Contracting Group (self-billing agreement),"AED 1,640,000.00","AED 78,095.24 @ 5%",PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",FILE
RED-T02-V1,KP5C-C43D8CE096,RED,V1,2,2,False,VALID,FILE,0,STANDARD B2B SUPPLY,Meridian Logistics LLC (Mainland Dubai),"AED 486,200.00","AED 23,152.38 @ 5%",PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",FILE
RED-T02-V2,KP5C-90C3CA323D,RED,V2,2,2,False,VALID,FILE,0,FREE ZONE B2B SUPPLY,Harbourline FZE (JAFZA) → Mainland buyer,"AED 1,204,000.00","AED 57,333.33 @ 5%",PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",FILE
RED-T02-V3,KP5C-0695E0C09E,RED,V3,2,2,False,VALID,FILE,0,B2G GOVERNMENT SUPPLY,Emirates Public Works Authority,"AED 2,750,000.00","AED 130,952.38 @ 5%",PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",FILE
RED-T02-V4,KP5C-6872AD7D53,RED,V4,2,3,True,VALID,FILE,0,E-CREDIT NOTE,Nakheel Interiors Trading LLC,"– AED 92,400.00 (credit)","– AED 4,400.00 @ 5%",PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",FILE
RED-T02-V5,KP5C-F73A091353,RED,V5,2,4,True,VALID,FILE,0,EXPORT SUPPLY — ZERO RATED,Qadeer Industrial Co. (Kingdom of Saudi Arabia),"AED 830,500.00",AED 0.00 — zero-rated export,PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",FILE
RED-T02-V6,KP5C-CE199DF87C,RED,V6,2,5,True,VALID,FILE,0,SELF-BILLED SUPPLY,Al Rayyan Contracting Group (self-billing agreement),"AED 1,640,000.00","AED 78,095.24 @ 5%",PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",FILE
RED-T03-V1,KP5C-97DA6FCCCE,RED,V1,3,3,False,VALID,FILE,0,STANDARD B2B SUPPLY,Meridian Logistics LLC (Mainland Dubai),"AED 486,200.00","AED 23,152.38 @ 5%",PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",FILE
RED-T03-V2,KP5C-C191C87076,RED,V2,3,3,False,VALID,FILE,0,FREE ZONE B2B SUPPLY,Harbourline FZE (JAFZA) → Mainland buyer,"AED 1,204,000.00","AED 57,333.33 @ 5%",PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",FILE
RED-T03-V3,KP5C-42806674CD,RED,V3,3,3,False,VALID,FILE,0,B2G GOVERNMENT SUPPLY,Emirates Public Works Authority,"AED 2,750,000.00","AED 130,952.38 @ 5%",PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",FILE
RED-T03-V4,KP5C-3959AD29CA,RED,V4,3,4,True,VALID,FILE,0,E-CREDIT NOTE,Nakheel Interiors Trading LLC,"– AED 92,400.00 (credit)","– AED 4,400.00 @ 5%",PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",FILE
RED-T03-V5,KP5C-1E464022F3,RED,V5,3,5,True,VALID,FILE,0,EXPORT SUPPLY — ZERO RATED,Qadeer Industrial Co. (Kingdom of Saudi Arabia),"AED 830,500.00",AED 0.00 — zero-rated export,PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",FILE
RED-T03-V6,KP5C-E94BCDAADB,RED,V6,3,6,True,VALID,FILE,0,SELF-BILLED SUPPLY,Al Rayyan Contracting Group (self-billing agreement),"AED 1,640,000.00","AED 78,095.24 @ 5%",PINT AE 1.0 (XML),"C1 → C3 → C4 → C2, reported C5",FILE
