table_no,pin,join_url
T-01,EEPW4P,https://kamel-pay-beyond-plus-game.vercel.app/join?t=01
T-02,XPNJQT,https://kamel-pay-beyond-plus-game.vercel.app/join?t=02
T-03,JGQT4D,https://kamel-pay-beyond-plus-game.vercel.app/join?t=03
T-04,FAKW9H,https://kamel-pay-beyond-plus-game.vercel.app/join?t=04
T-05,TVGM94,https://kamel-pay-beyond-plus-game.vercel.app/join?t=05
T-06,QYEHRY,https://kamel-pay-beyond-plus-game.vercel.app/join?t=06
T-07,WD6KWX,https://kamel-pay-beyond-plus-game.vercel.app/join?t=07
T-08,64MMTN,https://kamel-pay-beyond-plus-game.vercel.app/join?t=08
T-09,WCRDGV,https://kamel-pay-beyond-plus-game.vercel.app/join?t=09
T-10,7LFEJQ,https://kamel-pay-beyond-plus-game.vercel.app/join?t=10
